ray_id,parent_id,depth,surface,x0,y0,z0,x1,y1,z1,power,intensity
161,-1,0,Detector_direct,-0.34882407749367295,-0.8015050752196234,3.3199,-0.34882407749367295,-0.8015050752196234,2.6,25561.97558874095,54922249396.923515
162,-1,0,Detector_direct,-0.34852145188432737,-0.8008766666666667,3.3199,-0.34852145188432737,-0.8008766666666667,2.6,25561.97558874095,54922249396.923515
163,-1,0,Detector_direct,-0.3481285469181841,-0.8003003809246593,3.3199,-0.3481285469181841,-0.8003003809246593,2.6,25561.97558874095,54922249396.923515
164,-1,0,Detector_direct,-0.34765413944293094,-0.7997890912647941,3.3199,-0.34765413944293094,-0.7997890912647941,2.6,25561.97558874095,54922249396.923515
165,-1,0,Detector_direct,-0.34710882693763023,-0.799354219053192,3.3199,-0.34710882693763023,-0.799354219053192,2.6,25561.97558874095,54922249396.923515
166,-1,0,Detector_direct,-0.3465047907825486,-0.7990054786164553,3.3199,-0.3465047907825486,-0.7990054786164553,2.6,25561.97558874095,54922249396.923515
167,-1,0,Detector_direct,-0.3458555241472509,-0.7987506602396647,3.3199,-0.3458555241472509,-0.7987506602396647,2.6,25561.97558874095,54922249396.923515
168,-1,0,Detector_direct,-0.34517553057548883,-0.7985954561442827,3.3199,-0.34517553057548883,-0.7985954561442827,2.6,25561.97558874095,54922249396.923515
169,-1,0,Detector_direct,-0.34448,-0.7978766666666667,3.3199,-0.34448,-0.7978766666666667,2.6,22371.159017293216,48066487294.01007
170,-1,0,Detector_direct,-0.3437838603081597,-0.797922294072673,3.3199,-0.3437838603081597,-0.797922294072673,2.6,22371.159017293216,48066487294.01007
171,-1,0,Detector_direct,-0.34309963175945324,-0.798058395593125,3.3199,-0.34309963175945324,-0.798058395593125,2.6,22371.159017293216,48066487294.01007
172,-1,0,Detector_direct,-0.3424390216940529,-0.7982826424932731,3.3199,-0.3424390216940529,-0.7982826424932731,2.6,22371.159017293216,48066487294.01007
173,-1,0,Detector_direct,-0.34181333333333336,-0.798591197846483,3.3199,-0.34181333333333336,-0.798591197846483,2.6,22371.159017293216,48066487294.01007
174,-1,0,Detector_direct,-0.34123327237862017,-0.7989787821851134,3.3199,-0.34123327237862017,-0.7989787821851134,2.6,22371.159017293216,48066487294.01007
175,-1,0,Detector_direct,-0.34070876383367177,-0.7994387638336717,3.3199,-0.34070876383367177,-0.7994387638336717,2.6,22371.159017293216,48066487294.01007
176,-1,0,Detector_direct,-0.3402487821851134,-0.7999632723786201,3.3199,-0.3402487821851134,-0.7999632723786201,2.6,22371.159017293216,48066487294.01007
177,-1,0,Detector_direct,-0.339861197846483,-0.8005433333333333,3.3199,-0.339861197846483,-0.8005433333333333,2.6,22371.159017293216,48066487294.01007
178,-1,0,Detector_direct,-0.33955264249327316,-0.8011690216940528,3.3199,-0.33955264249327316,-0.8011690216940528,2.6,22371.159017293216,48066487294.01007
